image_path,target
/Users/macbook/Downloads/gestures to speech/Train/Images/V/136.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/120.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/83.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/125.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/168.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/112.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/29.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/79.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/K/122.jpg,10.0
/Users/macbook/Downloads/gestures to speech/Train/Images/K/130.jpg,10.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Q/98.jpg,16.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Q/166.jpg,16.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/155.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Z/93.jpg,25.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/96.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/99.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/8.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/103.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/U/106.jpg,20.0
/Users/macbook/Downloads/gestures to speech/Train/Images/K/33.jpg,10.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/24.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Z/57.jpg,25.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/149.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/81.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/O/50.jpg,14.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/61.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/152.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/37.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/81.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/54.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/125.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/1.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/80.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/42.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/36.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/91.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/U/104.jpg,20.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/80.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Q/146.jpg,16.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/160.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/142.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/H/18.jpg,7.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/4.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/159.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/176.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/E/131.jpg,4.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/82.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/115.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Z/176.jpg,25.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/108.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/137.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/15.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/U/92.jpg,20.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/40.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/68.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/108.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/122.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/21.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/91.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/153.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/O/159.jpg,14.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/21.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/27.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/119.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/80.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/156.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/75.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/H/161.jpg,7.0
/Users/macbook/Downloads/gestures to speech/Train/Images/K/25.jpg,10.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/176.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/39.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/29.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/146.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/176.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/179.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/68.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/116.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/15.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/143.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/40.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/133.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/K/143.jpg,10.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/69.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/135.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/110.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/36.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/161.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/2.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/94.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/100.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/37.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/134.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/44.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/170.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/113.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/4.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/22.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/127.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/83.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/5.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/143.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/U/123.jpg,20.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/68.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/147.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/76.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/122.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Z/161.jpg,25.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/151.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/170.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/120.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Z/156.jpg,25.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/26.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/96.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/O/168.jpg,14.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/124.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/106.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/143.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/97.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/59.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/19.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Z/56.jpg,25.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/82.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/2.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/H/127.jpg,7.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/100.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/132.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/E/11.jpg,4.0
/Users/macbook/Downloads/gestures to speech/Train/Images/K/142.jpg,10.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/112.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/90.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/44.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/65.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/31.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/5.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/O/34.jpg,14.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/128.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/163.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/112.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/41.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/H/7.jpg,7.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/0.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/H/24.jpg,7.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/161.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/K/45.jpg,10.0
/Users/macbook/Downloads/gestures to speech/Train/Images/U/91.jpg,20.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/115.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/U/138.jpg,20.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/126.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/109.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/108.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/115.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/U/163.jpg,20.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/58.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/166.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/19.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/H/123.jpg,7.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/77.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/115.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/56.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/5.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/154.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/102.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/O/43.jpg,14.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Z/8.jpg,25.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/86.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/H/57.jpg,7.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/120.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Q/145.jpg,16.0
/Users/macbook/Downloads/gestures to speech/Train/Images/O/74.jpg,14.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/73.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/130.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/87.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/141.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/144.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/42.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/173.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/14.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/U/74.jpg,20.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/56.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Q/106.jpg,16.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/86.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/177.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/160.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/23.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/E/157.jpg,4.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/36.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/39.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/66.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/85.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/K/91.jpg,10.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/112.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/51.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/36.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/E/172.jpg,4.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/65.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/4.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/156.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/1.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/U/122.jpg,20.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/34.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/62.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/23.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/89.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/151.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/62.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/72.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/67.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/48.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/145.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/90.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/45.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/30.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/138.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/E/69.jpg,4.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/28.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/H/104.jpg,7.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/82.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/95.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/45.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/118.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/19.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/65.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/166.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/53.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/103.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/U/37.jpg,20.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/169.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/74.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/K/38.jpg,10.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/142.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Z/23.jpg,25.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/73.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/155.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/144.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/36.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/H/5.jpg,7.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/77.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/172.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/161.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/108.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/14.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/92.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Z/129.jpg,25.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/173.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/94.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/37.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/69.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/9.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/135.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/116.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Q/114.jpg,16.0
/Users/macbook/Downloads/gestures to speech/Train/Images/J/10.jpg,9.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/30.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/87.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/176.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/173.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/142.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/144.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/171.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/2.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/S/108.jpg,18.0
/Users/macbook/Downloads/gestures to speech/Train/Images/H/13.jpg,7.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/174.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/178.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/110.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/91.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/25.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Y/35.jpg,24.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/162.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Z/123.jpg,25.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/41.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/57.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/111.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/17.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/O/147.jpg,14.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/13.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/75.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Q/14.jpg,16.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/71.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/115.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/143.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/105.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/150.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/178.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/84.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/E/24.jpg,4.0
/Users/macbook/Downloads/gestures to speech/Train/Images/K/115.jpg,10.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/9.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/33.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/109.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/94.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/18.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/U/2.jpg,20.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/131.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/176.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/89.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/E/111.jpg,4.0
/Users/macbook/Downloads/gestures to speech/Train/Images/W/102.jpg,22.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/10.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/V/179.jpg,21.0
/Users/macbook/Downloads/gestures to speech/Train/Images/D/114.jpg,3.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/132.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/158.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/92.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/M/152.jpg,12.0
/Users/macbook/Downloads/gestures to speech/Train/Images/N/155.jpg,13.0
/Users/macbook/Downloads/gestures to speech/Train/Images/X/89.jpg,23.0
/Users/macbook/Downloads/gestures to speech/Train/Images/G/29.jpg,6.0
/Users/macbook/Downloads/gestures to speech/Train/Images/F/96.jpg,5.0
/Users/macbook/Downloads/gestures to speech/Train/Images/E/2.jpg,4.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/1.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/C/119.jpg,2.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/29.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/P/166.jpg,15.0
/Users/macbook/Downloads/gestures to speech/Train/Images/A/23.jpg,0.0
/Users/macbook/Downloads/gestures to speech/Train/Images/I/78.jpg,8.0
/Users/macbook/Downloads/gestures to speech/Train/Images/B/159.jpg,1.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/62.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/R/82.jpg,17.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/34.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/T/112.jpg,19.0
/Users/macbook/Downloads/gestures to speech/Train/Images/L/71.jpg,11.0
/Users/macbook/Downloads/gestures to speech/Train/Images/Q/15.jpg,16.0
